# cell name, slice location, slice type, tile location, tile type, clock region
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[59].cell/FF_REG,SLICE_X2Y59,SLICEM,CLBLM_R_X3Y59,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[60].cell/FF_REG,SLICE_X2Y60,SLICEM,CLBLM_R_X3Y60,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[61].cell/FF_REG,SLICE_X2Y61,SLICEM,CLBLM_R_X3Y61,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[62].cell/FF_REG,SLICE_X2Y62,SLICEM,CLBLM_R_X3Y62,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[63].cell/FF_REG,SLICE_X2Y63,SLICEM,CLBLM_R_X3Y63,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[64].cell/FF_REG,SLICE_X2Y64,SLICEM,CLBLM_R_X3Y64,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[65].cell/FF_REG,SLICE_X2Y65,SLICEM,CLBLM_R_X3Y65,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[66].cell/FF_REG,SLICE_X2Y66,SLICEM,CLBLM_R_X3Y66,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[67].cell/FF_REG,SLICE_X2Y67,SLICEM,CLBLM_R_X3Y67,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[68].cell/FF_REG,SLICE_X2Y68,SLICEM,CLBLM_R_X3Y68,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[69].cell/FF_REG,SLICE_X2Y69,SLICEM,CLBLM_R_X3Y69,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[70].cell/FF_REG,SLICE_X2Y70,SLICEM,CLBLM_R_X3Y70,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[71].cell/FF_REG,SLICE_X2Y71,SLICEM,CLBLM_R_X3Y71,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[72].cell/FF_REG,SLICE_X2Y72,SLICEM,CLBLM_R_X3Y72,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[73].cell/FF_REG,SLICE_X2Y73,SLICEM,CLBLM_R_X3Y73,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[74].cell/FF_REG,SLICE_X2Y74,SLICEM,CLBLM_R_X3Y74,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[75].cell/FF_REG,SLICE_X2Y75,SLICEM,CLBLM_R_X3Y75,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[76].cell/FF_REG,SLICE_X2Y76,SLICEM,CLBLM_R_X3Y76,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[77].cell/FF_REG,SLICE_X2Y77,SLICEM,CLBLM_R_X3Y77,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[78].cell/FF_REG,SLICE_X2Y78,SLICEM,CLBLM_R_X3Y78,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[79].cell/FF_REG,SLICE_X2Y79,SLICEM,CLBLM_R_X3Y79,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[80].cell/FF_REG,SLICE_X2Y80,SLICEM,CLBLM_R_X3Y80,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[81].cell/FF_REG,SLICE_X2Y81,SLICEM,CLBLM_R_X3Y81,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[82].cell/FF_REG,SLICE_X2Y82,SLICEM,CLBLM_R_X3Y82,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[83].cell/FF_REG,SLICE_X2Y83,SLICEM,CLBLM_R_X3Y83,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[84].cell/FF_REG,SLICE_X2Y84,SLICEM,CLBLM_R_X3Y84,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[85].cell/FF_REG,SLICE_X2Y85,SLICEM,CLBLM_R_X3Y85,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[86].cell/FF_REG,SLICE_X2Y86,SLICEM,CLBLM_R_X3Y86,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[87].cell/FF_REG,SLICE_X2Y87,SLICEM,CLBLM_R_X3Y87,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[88].cell/FF_REG,SLICE_X2Y88,SLICEM,CLBLM_R_X3Y88,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[89].cell/FF_REG,SLICE_X2Y89,SLICEM,CLBLM_R_X3Y89,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[90].cell/FF_REG,SLICE_X2Y90,SLICEM,CLBLM_R_X3Y90,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[91].cell/FF_REG,SLICE_X2Y91,SLICEM,CLBLM_R_X3Y91,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[92].cell/FF_REG,SLICE_X2Y92,SLICEM,CLBLM_R_X3Y92,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[93].cell/FF_REG,SLICE_X2Y93,SLICEM,CLBLM_R_X3Y93,CLBLM_R,X0Y1
